	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Preferred Stock Dividends	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Special Income Charges	Gain On Sale Of Business	Other Special Charges	Impairment Of Capital Assets	Restructuring And Mergern Acquisition	Earnings From Equity Interest	Net Non Operating Interest Income Expense	Total Other Finance Cost	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Depreciation Amortization Depletion Income Statement	Depreciation And Amortization In Income Statement	Amortization	Amortization Of Intangibles Income Statement	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Employee Benefits	Non Current Pension And Other Postretirement Benefit Plans	Tradeand Other Payables Non Current	Non Current Deferred Liabilities	Non Current Deferred Revenue	Non Current Deferred Taxes Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Commercial Paper	Current Notes Payable	Pensionand Other Post Retirement Benefit Plans Current	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Other Payable	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Prepaid Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Non Current Accounts Receivable	Investments And Advances	Long Term Equity Investment	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Other Properties	Machinery Furniture Equipment	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Assets Held For Sale Current	Inventory	Finished Goods	Raw Materials	Receivables	Receivables Adjustments Allowances	Other Receivables	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Proceeds From Stock Option Exercised	Cash Dividends Paid	Preferred Stock Dividend Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net Business Purchase And Sale	Sale Of Business	Purchase Of Business	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Dividend Received Cfo	Change In Working Capital	Change In Other Working Capital	Change In Payables And Accrued Expense	Change In Accrued Expense	Change In Payable	Change In Account Payable	Change In Tax Payable	Change In Income Tax Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Provisionand Write Offof Assets	Asset Impairment Charge	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Operating Gains Losses	Pension And Employee Benefit Expense	Earnings Losses From Equity Investments	Gain Loss On Sale Of Business	Net Income From Continuing Operations	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2025-10-31	-86730000.0	0.21	1698000000.0	-413000000.0	-413000000.0	175000000.0	877000000.0	5871000000.0	1285000000.0	408000000.0	-261000000.0			501270000.0	175000000.0	9271000000.0	-8000000.0	1361000000.0	1332000000.0	0.11	0.11	146000000.0	146000000.0	29000000.0	175000000.0	175000000.0	175000000.0	-436000000.0	-261000000.0	-408000000.0	-413000000.0	3000000.0		260000000.0	156000000.0	5000000.0	-261000000.0				408000000.0	2833000000.0	310000000.0	310000000.0	310000000.0	310000000.0	881000000.0	1642000000.0	3241000000.0	6438000000.0	9679000000.0	9679000000.0	1318292428.0	1318292428.0	16592000000.0	24077000000.0	-5450000000.0	47053000000.0	351000000.0	-5450000000.0	1712000000.0	24688000000.0	42444000000.0	24754000000.0	66000000.0	24688000000.0	-2748000000.0	-2748000000.0	-2811000000.0	30234000000.0	13000000.0	13000000.0	0.0	51152000000.0	26509000000.0	791000000.0	930000000.0	930000000.0	183000000.0	5453000000.0	4980000000.0	473000000.0	19152000000.0	1396000000.0	17756000000.0	24643000000.0		5974000000.0	5974000000.0	4925000000.0	316000000.0	4609000000.0	3796000000.0	681000000.0	132000000.0	1871000000.0	11873000000.0	2742000000.0	9131000000.0	16000000.0	1384000000.0	319000000.0	7731000000.0	75906000000.0	50912000000.0	1540000000.0	2074000000.0	2952000000.0	2952000000.0	5716000000.0	955000000.0	955000000.0	30138000000.0	6368000000.0	23770000000.0	7537000000.0	-6628000000.0	14165000000.0	1535000000.0	10246000000.0	2075000000.0	309000000.0	0.0	24994000000.0	3753000000.0	0.0	6352000000.0	2213000000.0	4139000000.0	9116000000.0	-22000000.0	4222000000.0	4916000000.0			5773000000.0	5773000000.0	1824000000.0	-100000000.0	-5174000000.0	3855000000.0	-641000000.0	5859000000.0	4697000000.0	-30000000.0	1192000000.0	-1697000000.0	-1697000000.0	-2000000.0	-60000000.0	-200000000.0	-29000000.0	-171000000.0	-100000000.0	-100000000.0	-1335000000.0	-16000000.0	-1319000000.0	-5174000000.0	3855000000.0	424000000.0	424000000.0	54000000.0	885000000.0	887000000.0	-2000000.0	0.0	0.0	0.0	-515000000.0	126000000.0	-641000000.0	2465000000.0	2465000000.0	29000000.0	723000000.0	1025000000.0	-980000000.0	-12000000.0	-968000000.0	-873000000.0	-95000000.0	-95000000.0	398000000.0	280000000.0	430000000.0	493000000.0	196000000.0	172000000.0	260000000.0	-491000000.0	-491000000.0	877000000.0	877000000.0	31000000.0		-16000000.0	-3000000.0	175000000.0		75906000000.0	24994000000.0	5773000000.0	5773000000.0	6352000000.0	9116000000.0	50912000000.0	6002000000.0		6368000000.0	6368000000.0	23770000000.0		955000000.0		3753000000.0		51218000000.0	24643000000.0	7731000000.0			4609000000.0	26575000000.0	1712000000.0	17756000000.0	4609000000.0		22365000000.0	6945000000.0	791000000.0	24688000000.0		-2811000000.0	13000000.0	1324000000.0
2025-07-31	-37800000.0	0.21	1295000000.0	-180000000.0	-180000000.0	305000000.0	687000000.0	5903000000.0	1115000000.0	428000000.0	8000000.0		8000000.0	447200000.0	305000000.0	8708000000.0	247000000.0	1421000000.0	1325000000.0	0.21	0.21	276000000.0	276000000.0	29000000.0	305000000.0	305000000.0	305000000.0	-17000000.0	288000000.0	-148000000.0	-180000000.0	1000000.0		0.0	181000000.0	32000000.0	8000000.0			8000000.0	428000000.0	2244000000.0	126000000.0	126000000.0	126000000.0	126000000.0	622000000.0	1496000000.0	2672000000.0	6464000000.0	9136000000.0	9136000000.0	1318814831.0	1318814831.0	19082000000.0	23653000000.0	-6002000000.0	48055000000.0	-1345000000.0	-6002000000.0		24402000000.0	41256000000.0	24467000000.0	65000000.0	24402000000.0	-3024000000.0	-3024000000.0	-2786000000.0	30199000000.0	13000000.0	13000000.0	0.0	52873000000.0	25526000000.0	8672000000.0							16854000000.0		16854000000.0	27347000000.0		5311000000.0	5311000000.0	6799000000.0		6799000000.0	5050000000.0	625000000.0	1124000000.0	1549000000.0	13688000000.0	4770000000.0	8918000000.0		256000000.0	256000000.0	8662000000.0	77340000000.0	51338000000.0	13817000000.0					999000000.0	999000000.0	30404000000.0	6637000000.0	23767000000.0	6118000000.0	-6883000000.0	13001000000.0		10607000000.0	2088000000.0	306000000.0	0.0	26002000000.0	4835000000.0	0.0	7163000000.0	2708000000.0	4455000000.0	9433000000.0	-18000000.0	4191000000.0	5260000000.0			4571000000.0	4571000000.0	729000000.0	0.0	-602000000.0	5076000000.0	-576000000.0	4697000000.0	11788000000.0	-29000000.0	-7062000000.0	4235000000.0	4235000000.0	0.0	-58000000.0	-200000000.0	-29000000.0	-171000000.0	0.0	0.0	4493000000.0	19000000.0	4474000000.0	-602000000.0	5076000000.0	-12602000000.0	-12602000000.0	114000000.0	48000000.0	54000000.0	-6000000.0	-12278000000.0	0.0		-486000000.0	90000000.0	-576000000.0	1305000000.0	1305000000.0		-66000000.0	-120000000.0	-980000000.0	-14000000.0	-966000000.0	-897000000.0	-69000000.0	-69000000.0	1820000000.0	-786000000.0	-758000000.0	117000000.0	177000000.0	149000000.0	0.0	-31000000.0	-31000000.0	687000000.0	687000000.0	-33000000.0	0.0	-32000000.0	-1000000.0	305000000.0		77340000000.0	26002000000.0	4571000000.0	4571000000.0	7163000000.0	5656000000.0	51338000000.0	6118000000.0		6637000000.0	6637000000.0	23767000000.0		999000000.0		8612000000.0		52938000000.0	27347000000.0	8662000000.0			6799000000.0	25591000000.0		16854000000.0	6799000000.0		23653000000.0	6575000000.0	8672000000.0	24402000000.0		-2786000000.0	13000000.0	1421000000.0
2025-04-30	-294630000.0	0.21	2271000000.0	-1403000000.0	-1403000000.0	-1050000000.0	574000000.0	4921000000.0	868000000.0	294000000.0	39000000.0			58370000.0	-1050000000.0	7333000000.0	-1109000000.0	1322000000.0	1322000000.0	-0.82	-0.82	-1079000000.0	-1079000000.0	29000000.0	-1050000000.0	-1050000000.0	-1050000000.0	5000000.0	-1045000000.0	-1378000000.0	-1403000000.0	0.0		1361000000.0	42000000.0	25000000.0	39000000.0	-39000000.0			294000000.0	1875000000.0	37000000.0	37000000.0	37000000.0	37000000.0	540000000.0	1298000000.0	2169000000.0	5458000000.0	7627000000.0	7627000000.0	1310531962.0	1310531962.0	5863000000.0	17530000000.0	6630000000.0	41397000000.0	7033000000.0	6630000000.0		23867000000.0	36245000000.0	23927000000.0	60000000.0	23867000000.0	-3094000000.0	-3094000000.0	-2892000000.0	29840000000.0	13000000.0	13000000.0	0.0	43927000000.0	19389000000.0	7011000000.0							12378000000.0		12378000000.0	24538000000.0		4172000000.0	4172000000.0	5152000000.0		5152000000.0	4374000000.0	662000000.0	116000000.0	1055000000.0	14159000000.0	4566000000.0	9593000000.0		277000000.0	277000000.0	9316000000.0	67854000000.0	36283000000.0	12674000000.0					965000000.0	965000000.0	17237000000.0	512000000.0	16725000000.0	5407000000.0	-6881000000.0	12288000000.0		10505000000.0	1717000000.0	66000000.0	0.0	31571000000.0	4002000000.0	0.0	8096000000.0	2988000000.0	5108000000.0	7806000000.0		4242000000.0	3564000000.0	-10000000.0	3574000000.0	11667000000.0	11667000000.0	-1008000000.0	-50000000.0	-575000000.0	152000000.0	-547000000.0	11788000000.0	13852000000.0	81000000.0	-2145000000.0	-695000000.0	-695000000.0	0.0	-2000000.0	-200000000.0	-29000000.0	-171000000.0	-50000000.0	-50000000.0	-443000000.0	-20000000.0	-423000000.0	-575000000.0	152000000.0	-989000000.0	-989000000.0	-561000000.0	39000000.0	40000000.0	-1000000.0	0.0	0.0		-467000000.0	80000000.0	-547000000.0	-461000000.0	-461000000.0		-1653000000.0	261000000.0	-1535000000.0	-16000000.0	-1519000000.0	-1434000000.0	-85000000.0	-85000000.0	376000000.0	-755000000.0	-463000000.0	114000000.0	116000000.0	123000000.0		-41000000.0	-41000000.0	574000000.0	574000000.0	-5000000.0	20000000.0	-25000000.0	0.0	-1050000000.0		67854000000.0	31571000000.0	11667000000.0	11667000000.0	8096000000.0	7806000000.0	36283000000.0	5407000000.0		512000000.0	512000000.0	16725000000.0		965000000.0	601000000.0	4002000000.0		43927000000.0	24538000000.0	9316000000.0			5152000000.0	19389000000.0		12378000000.0	5152000000.0		17530000000.0	5621000000.0	7011000000.0	23867000000.0		-2892000000.0	13000000.0	1322000000.0
2025-01-31	23635000.0	0.145	950000000.0	163000000.0	163000000.0	627000000.0	599000000.0	4998000000.0	1113000000.0	514000000.0	39000000.0			487635000.0	627000000.0	7340000000.0	433000000.0	1409000000.0	1316000000.0	0.44	0.45	598000000.0	598000000.0	29000000.0	627000000.0	627000000.0	627000000.0	106000000.0	733000000.0	180000000.0	163000000.0	244000000.0			81000000.0	17000000.0	39000000.0	-39000000.0			514000000.0	1781000000.0	38000000.0	38000000.0	38000000.0	38000000.0	475000000.0	1268000000.0	2295000000.0	5559000000.0	7854000000.0	7854000000.0	1313391109.0	1313391109.0	4446000000.0	17877000000.0	6630000000.0	43101000000.0	8108000000.0	6630000000.0		25224000000.0	38496000000.0	25282000000.0	58000000.0	25224000000.0	-2927000000.0	-2927000000.0	-1642000000.0	29780000000.0	13000000.0	13000000.0	0.0	45045000000.0	20141000000.0	6869000000.0							13272000000.0		13272000000.0	24904000000.0		3905000000.0	3905000000.0	4605000000.0		4605000000.0	3810000000.0	665000000.0	130000000.0	898000000.0	15496000000.0	4435000000.0	11061000000.0		314000000.0	314000000.0	10747000000.0	70327000000.0	37315000000.0	12369000000.0					940000000.0	940000000.0	18594000000.0	508000000.0	18086000000.0	5412000000.0	-6624000000.0	12036000000.0		10250000000.0	1720000000.0	66000000.0	0.0	33012000000.0	3783000000.0	0.0	8577000000.0	2386000000.0	6191000000.0	7221000000.0	-9000000.0	4076000000.0	3154000000.0			13431000000.0	13431000000.0	-918000000.0	-52000000.0	-486000000.0	105000000.0	-528000000.0	13852000000.0	15105000000.0	-43000000.0	-1210000000.0	-797000000.0	-797000000.0	-8000000.0	-169000000.0	-196000000.0	-25000000.0	-171000000.0	-52000000.0	-52000000.0	-372000000.0	9000000.0	-381000000.0	-486000000.0	105000000.0	-23000000.0	-23000000.0	210000000.0	1000000.0	1000000.0	0.0	210000000.0	210000000.0		-444000000.0	84000000.0	-528000000.0	-390000000.0	-390000000.0		-1711000000.0	-1077000000.0	-231000000.0	-16000000.0	-215000000.0	-264000000.0	49000000.0	49000000.0	-811000000.0	408000000.0	91000000.0	60000000.0	154000000.0	67000000.0		-2000000.0	-2000000.0	599000000.0	599000000.0	-184000000.0	77000000.0	-17000000.0	-244000000.0	627000000.0		70327000000.0	33012000000.0	13431000000.0	13431000000.0	8577000000.0	7221000000.0	37315000000.0	5412000000.0		508000000.0	508000000.0	18086000000.0		940000000.0	619000000.0	3783000000.0		45045000000.0	24904000000.0	10747000000.0			4605000000.0	20141000000.0		13272000000.0	4605000000.0		17877000000.0	5333000000.0	6869000000.0	25224000000.0		-1642000000.0	13000000.0	1409000000.0
2024-10-31	22566690.190543	0.035992	812000000.0	627000000.0	627000000.0	1366000000.0	640000000.0	5281000000.0	1439000000.0	799000000.0	5000000.0			761566690.190543	1366000000.0	7659000000.0	693000000.0	1375000000.0	1312000000.0	0.99	1.02	1341000000.0	1341000000.0		1366000000.0	1366000000.0	1366000000.0	51000000.0	1417000000.0	613000000.0	627000000.0		2000000.0		104000000.0	-14000000.0	5000000.0	-5000000.0			799000000.0	1807000000.0	69000000.0	69000000.0	69000000.0	69000000.0	527000000.0	1211000000.0	2606000000.0	5852000000.0	8458000000.0	8458000000.0	1297258235.0	1297258235.0	3400000000.0	19816000000.0	6220000000.0	43062000000.0	7484000000.0	6220000000.0	1570000000.0	24816000000.0	38320000000.0	24880000000.0	64000000.0	24816000000.0	-2977000000.0	-2977000000.0	-2068000000.0	29848000000.0	13000000.0	13000000.0	0.0	46382000000.0	20409000000.0	623000000.0	859000000.0	859000000.0	163000000.0	3951000000.0	3578000000.0	373000000.0	14813000000.0	1309000000.0	13504000000.0	25973000000.0	32000000.0	4193000000.0	4193000000.0	5003000000.0	261000000.0	4742000000.0	3969000000.0	649000000.0	124000000.0	1356000000.0	15389000000.0	3029000000.0	12360000000.0	90000000.0	1206000000.0	284000000.0	11064000000.0	71262000000.0	37805000000.0	1674000000.0	1555000000.0	2396000000.0	2396000000.0	5583000000.0	929000000.0	929000000.0	18596000000.0	510000000.0	18086000000.0	7072000000.0	-6490000000.0	13562000000.0	1408000000.0	10392000000.0	1696000000.0	66000000.0	0.0	33457000000.0	3380000000.0	1000000.0	7810000000.0	2369000000.0	5441000000.0	7420000000.0	-10000000.0	4194000000.0	3236000000.0			14846000000.0	14846000000.0	1422000000.0	-50000000.0	-2681000000.0	9089000000.0	-608000000.0	15105000000.0	3905000000.0	-12000000.0	11212000000.0	7655000000.0	7655000000.0	0.0	-15000000.0	-169000000.0		-169000000.0	-50000000.0	-50000000.0	6427000000.0	19000000.0	6408000000.0	-2681000000.0	9089000000.0	1527000000.0	1527000000.0	48000000.0	2144000000.0	2144000000.0	0.0	-147000000.0		-147000000.0	-518000000.0	90000000.0	-608000000.0	2030000000.0	2030000000.0	0.0	682000000.0	156000000.0	987000000.0	-20000000.0	1007000000.0	925000000.0	82000000.0	82000000.0	-163000000.0	-298000000.0	300000000.0	2000000.0	89000000.0	50000000.0		-80000000.0	-80000000.0	640000000.0	640000000.0	-719000000.0		14000000.0		1366000000.0		71262000000.0	33457000000.0	14846000000.0	14846000000.0	7810000000.0	7420000000.0	37805000000.0	5664000000.0		510000000.0	510000000.0	18086000000.0		929000000.0	601000000.0	3381000000.0		46382000000.0	25973000000.0	11064000000.0			5003000000.0	20409000000.0	1570000000.0	13504000000.0	4742000000.0		19816000000.0	5713000000.0	623000000.0	24816000000.0		-2068000000.0	13000000.0	1337000000.0
2024-07-31												12000000.0																				0.0	5000000.0	0.0				12000000.0	12000000.0																																																59000000.0																																												-13000000.0																					0.0																0.0	0.0																					0.0						0.0		0.0			60852000000.0	22405000000.0	3642000000.0	3642000000.0	7679000000.0	7562000000.0	38447000000.0			477000000.0	477000000.0	17988000000.0		2318000000.0	1207000000.0	3522000000.0		38718000000.0	23865000000.0	10085000000.0			3864000000.0	14853000000.0		7939000000.0	3864000000.0		11803000000.0	5963000000.0	6914000000.0	22077000000.0		-3240000000.0	13000000.0	1332000000.0
2024-04-30																																																																																																																																																																																																									59711000000.0	21427000000.0	2676000000.0	2676000000.0	7326000000.0	7486000000.0	38284000000.0			515000000.0	515000000.0	17988000000.0		2291000000.0	841000000.0	3939000000.0		37977000000.0	23750000000.0	10119000000.0			3767000000.0	14227000000.0		7490000000.0	3767000000.0		11257000000.0	5900000000.0	6737000000.0	21680000000.0		-3583000000.0	13000000.0	1325000000.0
2024-01-31																																																																																																																																																																																																									58602000000.0	20244000000.0	3758000000.0	3758000000.0	6049000000.0	7410000000.0	38358000000.0			582000000.0	582000000.0	17988000000.0		2249000000.0	985000000.0	3027000000.0		37134000000.0	22635000000.0	8125000000.0			4957000000.0	14499000000.0		7840000000.0	4957000000.0		12797000000.0	5653000000.0	6659000000.0	21416000000.0		-3728000000.0	13000000.0	1316000000.0
2023-10-31																																																																																																																																																																																																									57153000000.0	18948000000.0	4270000000.0	4270000000.0	4607000000.0	7024000000.0	38205000000.0	2869000000.0		654000000.0	654000000.0	17988000000.0		2197000000.0	905000000.0	3047000000.0		35915000000.0	21882000000.0	7136000000.0			5062000000.0	14033000000.0	1160000000.0	7487000000.0	4868000000.0		13515000000.0	5479000000.0	6546000000.0	21182000000.0		-3946000000.0	13000000.0	1315000000.0
